ID Vendedor;Tipo de Documento;Numero de Documento;Apellido Vendedor;Nombre Vendedor
1;CC;153713910;Acevedo Araujo;Miguel Alberto
2;CC;86186032;Almeida López;Alejandro
3;CC;607798445;Alvarado Pinzón;Mateo
4;CC;139885430;Álvarez Luna;Nicolás
5;CC;517196372;Álvarez Navarro;Martín
6;CC;576315510;Ardila Portilla;Joaquín
7;CC;210591071;Ardila Uribe;Emilio
8;CC;1003971418;Arias Acero;Jacobo
9;CC;955950502;Baquero De Vries;Manuel
10;CC;647224886;Barón Sánchez;Manuel
11;CC;605928649;Bermúdez Molina;Juan Felipe
12;CC;293952770;Bernal Fierro;Samuel Andrés
13;CC;631351169;Bocanegra Peñaranda;Santiago
14;CC;864837162;Bolívar González;Simón
15;CC;836739058;Briceño Santiago;Lorenzo
16;CC;102916849;Caballero Ballesteros;Luis Felipe
17;CC;478097738;Cañón Fandiño;Jorge Arturo
18;CC;156480220;Cárdenas Molina;Santiago
19;CC;702866134;Carvajal Suárez;Samuel
20;CC;923758912;Casallas Carrillo;José Miguel
21;CC;931740965;Chaparro Mojica;Carlos Jacobo
22;CC;153661126;Córdoba Mendoza;Martín Felipe
23;CC;869141092;Corredor Moreno;Lucas
24;CC;681562865;Cortés Díaz;Lucía
25;CC;696209436;D' Pablo Maldonado;Laura
26;CC;782557070;Delgado Cepeda;Mariana
27;CC;342307666;Díaz Chaparro;Valentina
28;CC;226578870;Díaz Herrera;Juana Camila
29;CC;875485616;Díaz Posada;Emiliana
30;CC;591248870;Espinosa Torres;María Camila
31;CC;587989877;Galeano Riascos;Valentina
32;CC;376674665;Gallego Flórez;Sofía
33;CC;600037564;García Jiménez;Susana Sofía
34;CC;169253244;García Rey;Isabella
35;CC;138590501;García Suárez;Luciana
36;CC;472597788;Giraldo Forero;Nicole
37;CC;272895072;Giraldo Gómez;Luciana
38;CC;885875442;Giraldo Jaramillo;María Camila
39;CC;1010679239;Gómez Giraldo;Laura Elena
40;CC;678552728;González Bonna;María Antonia
41;CC;529657189;González Mogollón;Violeta
42;CC;1023147550;González Rodríguez;Valentina
43;CC;382389037;González-Rubio Conde;María Alejandra
44;CC;808871606;Grijalba Aponte;Catalina
45;CC;385233711;Grillo Gómez;Ana Catalina
46;CC;374354503;Guevara Sánchez;Julieta
47;CC;327958306;Gutiérrez González;Manuela
48;CC;957875041;Hernández Cortés;Manuela
49;CC;470560950;Hernández Medina;Luciana
50;CC;750953385;Herrera Parra;Elena
51;CC;611934333;Hincapié Barbosa;Manuela
52;CC;769059365;Jiménez García;Silvana
53;CC;153532179;Laverde Cardona;María José
54;CC;703633965;Lenis Muñoz;Juanita María
55;CC;416048809;Leyton Mendoza;Sofía
56;CC;114784367;López Vásquez;Ana maria
57;CC;258119484;Mañosas Rodríguez;Valentina
58;CC;605834992;Medina Espinosa;Amelia
59;CC;545501869;Mejía Mejía;Mariana
60;CC;399002704;Molano Hernández;Ailyn
61;CC;556017481;Molina Renza;Sofía
62;CC;299686303;Mongui Castro;Laura Sofía
63;CC;842857357;Moya Pachón;Gabriela
64;CC;1020091199;Neira Soacha;Naomi
65;CC;1015670687;Niebles De Moya;Martina
66;CC;938879177;Niño Delgado;Sebastián
67;CC;567918837;Niño Mayorga;Nicolás
68;CC;405152590;Ochoa Benavides;Juan Andrés
69;CC;386801857;Oñate Villaveces;Nicolás
70;CC;158904960;Otalvaro Moncada;Juan Daniel
71;CC;306266966;Oviedo Cardona;Matías
72;CC;701617277;Pardo Fonseca;Lucas
73;CC;324432410;Patiño Rodríguez;Samuel
74;CC;600919777;Perdomo Rozo;Juan Pablo
75;CC;581259975;Polania Vizcaino;Felipe
76;CC;444390661;Prada Salcedo;Jacobo
77;CC;386068468;Probst Caraballo;Matías
78;CC;560283887;Ramírez Enciso;Carlos David
79;CC;347361980;Ramírez Márquez;Alejandro
80;CC;293952592;Ramírez Rodríguez;Juan Felipe
81;CC;239567126;Restrepo Chica;Lucca
82;CC;757112695;Ribeiro Cabas;Juan Camilo
83;CC;655685324;Rico Chaves;Thomas
84;CC;245908058;Rincón Murcia;Martín
85;CC;747032967;Rincón Rodríguez;Sebastián
86;CC;183161737;Rivera Gallego;Martín
87;CC;255936673;Roa Torres;Juan Sebastián
88;CC;226114503;Rojas Betancourth;Juan Martín
89;CC;492552707;Rojas Ramírez;Pablo
90;CC;635748626;Rozo Rodríguez;Samuel
91;CC;699186285;Saffon Puentes;Juan Sebastián
92;CC;436230137;Salazar Navarro;Samuel
93;CC;928097262;Salazar Ternera;Juan Pablo
94;CC;171005784;Salcedo Ortíz;David
95;CC;255106775;Sánchez Cacua;Nicolás
96;CC;742954133;Sánchez Hernández;Federico
97;CC;863762587;Sánchez Lozano;Nicolás
98;CC;213123849;Segura Giraldo;Alejandro
99;CC;161884717;Suárez Arias;Juan Felipe
100;CC;577029323;Suárez Galindo;Juan José
101;CC;852336391;Suarez Pacheco;Juan Martín
102;CC;590869484;Torrado Fernández;Sebastián
103;CC;699926164;Torrente Cely;Santiago
104;CC;533715085;Torres Solano;Santiago
105;CC;575082469;Vaca García;Daniel Alejandro
106;CC;975030588;Valencia Díaz;Juan David
107;CC;320443437;Velásquez Gaona;Juan Martín
108;CC;761711406;Velásquez Odoardi;Emilio
109;CC;587258632;Walteros Salazar;Samuel
110;CC;688118138;Wolf Klass;Alejandro
111;CC;874289049;Yara Torres;Martín
112;CC;885975724;Zapata Lagos;Lukas
